token,community,best_cluster_match_fraction
侧重,182,1.0
侧面,61,1.0
侮辱,444,0.25
侵占,262,1.0
侵害,444,1.0
侵权,101,1.0
侵犯,444,0.75
侵略,177,1.0
便,120,0.5
便于,135,0.5
便利,491,0.75
便利店,178,1.0
便宜,491,0.25
便捷,491,0.75
便是,127,1.0
便条,492,0.75
便道,386,1.0
便饭,493,0.5
促使,407,0.75
促成,407,0.75
促进,425,1.0
促销,427,1.0
俄语,234,0.75
俊,494,1.0
俊俏,189,0.75
俗,304,1.0
俗话,17,1.0
俗话说,17,0.5
俗语,17,1.0
俘获,495,0.0
俘虏,387,1.0
保,67,0.75
保佑,55,0.75
保修,496,1.0
保健,497,0.75
保养,496,1.0
保卫,498,1.0
保姆,26,1.0
保存,400,1.0
保守,298,1.0
保安,351,1.0
保密,499,1.0
保护,498,0.75
保持,500,1.0
保暖,100,0.75
保留,501,1.0
保管,400,1.0
保证,67,1.0
保质期,502,1.0
保重,503,0.75
保险,504,1.0
保障,67,1.0
保鲜,505,1.0
信,492,1.0
信仰,255,0.75
信件,492,0.75
信任,366,0.5
信号,506,1.0
信封,492,0.75
信心,507,1.0
信念,507,0.5
信息,508,0.75
信用,509,1.0
信用卡,16,1.0
信箱,278,0.25
信誉,384,1.0
信贷,510,0.5
信赖,51,0.5
俩,26,1.0
修,496,0.75
修养,375,0.75
修复,511,0.25
修建,276,0.25
修改,512,1.0
修正,513,0.25
修理,496,1.0
修补,514,0.0
修订,515,0.0
修路,386,0.0
修车,496,0.25
修长,219,0.0
俯首,516,0.0
俱乐部,517,0.75
倍,518,1.0
倒,519,0.5
倒下,519,0.75
倒卖,477,1.0
倒塌,520,1.0
倒数,521,1.0
倒是,120,0.75
倒计时,522,1.0
倒车,523,1.0
倒闭,524,0.75
倒霉,172,0.25
倔,189,0.5
倔强,189,0.75
倘若,132,1.0
候选人,525,1.0
倚,412,0.25
借,408,1.0
借助,408,1.0
借口,302,0.5
借条,16,0.25
借用,483,1.0
借鉴,417,0.0
倡导,526,0.75
倡议,263,0.5
债,527,1.0
债务,509,1.0
值,461,1.0
值得,145,1.0
值班,528,0.5
值钱,130,1.0
倾向,529,1.0
倾听,530,0.5
倾家荡产,97,0.0
倾斜,529,1.0
倾诉,364,0.25
倾销,531,1.0
假,85,0.75
假使,132,0.75
假冒,477,1.0
假如,132,1.0
假定,449,1.0
假日,237,1.0
假期,237,1.0
假装,532,1.0
假设,449,1.0
偏,45,0.75
偏偏,132,1.0
偏僻,533,0.25
偏向,529,1.0
偏差,534,1.0
偏方,497,0.75
偏见,535,0.5
偏远,307,0.75
做,124,0.5
做到,536,0.75
做客,475,1.0
做梦,537,0.75
做法,538,0.5
做生意,334,1.0
做饭,90,1.0
停,235,0.75
停下,10,1.0
停业,235,1.0
停放,329,0.75
停止,235,1.0
停泊,539,1.0
停电,540,0.0
停留,501,0.5
停车,329,0.75
停车位,329,0.75
停车场,178,0.5
停顿,235,0.75
健全,541,0.5
健壮,219,1.0
健康,497,0.5
健美,281,1.0
健身,281,1.0
偶像,542,1.0
偶尔,153,1.0
偶然,543,0.5
偷,205,0.0
偷偷,3,0.75
偷懒,90,1.0
偷看,544,0.0
偷窥,545,0.5
偿还,509,1.0
傍晚,22,1.0
储备,486,0.25
储存,400,1.0
储蓄,16,0.75
催,546,1.0
催促,108,1.0
催眠,97,0.75
傲,295,0.5
傲慢,189,0.5
傻,131,0.5
傻瓜,368,0.5
像,547,1.0
像样,471,1.0
僧人,474,0.75
僵,95,0.25
僵化,31,0.25
僵局,320,0.5
僻静,533,0.5
儒学,548,0.5
儒家,548,0.5
儿女,26,1.0
儿子,26,1.0
儿科,223,1.0
儿童,229,0.75
允许,214,1.0
元,358,0.25
元宵节,237,1.0
元旦,237,1.0
元素,549,0.0
元老,550,1.0
元首,525,1.0
兄弟,429,0.5
充,551,1.0
充分,552,0.75
充实,553,1.0
充当,481,0.75
充沛,426,0.75
充满,554,0.0
充电,540,1.0
充电器,555,1.0
充足,426,0.75
兆头,556,1.0
先,115,0.75
先例,220,1.0
先前,91,1.0
先后,318,0.0
先天,557,1.0
先生,558,1.0
先进,559,0.75
先锋,328,0.5
光,360,1.0
光临,475,0.75
光彩,560,1.0
光明,561,1.0
光明磊落,189,1.0
光泽,562,0.25
光滑,562,0.75
光环,563,1.0
光盘,564,1.0
光碟,564,1.0
光线,360,1.0
光缆,441,1.0
光芒,560,0.0
光荣,434,1.0
光辉,434,1.0
光顾,565,0.75
克,358,1.0
克制,566,0.0
克服,567,0.5
克隆,568,1.0
免,569,1.0
免不了,133,0.0
免得,133,1.0
免疫,372,0.5
免职,75,1.0
免费,104,1.0
免除,567,0.25
兑换,383,1.0
兑现,570,1.0
兔,402,1.0
党,571,0.75
兜,572,0.75
兜儿,100,1.0
兜售,573,0.5
兢兢业业,151,0.75
入,574,0.25
入侵,478,0.5
入口,575,1.0
入场,576,0.75
入场券,191,0.5
入境,577,1.0
入学,81,1.0
入手,578,0.75
入选,579,0.5
入门,580,0.25
全,581,0.25
全世界,190,1.0
全体,582,1.0
全力,319,0.75
全力以赴,319,0.5
全国,190,1.0
全场,576,0.75
全家,26,1.0
全局,583,1.0
全年,584,0.75
全心全意,30,0.75
全文,585,1.0
全新,586,1.0
全方位,552,0.75
全球,190,1.0
全程,587,0.75
全能,68,1.0
全身,208,1.0
全部,2,1.0
全都,2,1.0
全长,469,0.25
全面,588,0.5
八,1,1.0
八卦,589,1.0
公,421,1.0
公主,590,1.0
公事,493,0.25
公交车,102,0.5
公仆,30,0.0
公众,421,0.0
公元,591,1.0
公共,592,0.75
公共场所,593,1.0
公共汽车,102,0.75
公关,438,0.75
公函,492,0.75
公务,493,0.0
公务员,374,0.75
公司,197,0.75
公告,594,0.75
公园,470,0.75
公墓,595,1.0
公安,351,1.0
公安局,351,1.0
公寓,249,1.0
公布,594,0.25
公平,238,0.75
公开,596,0.75
公开信,492,0.5
公式,597,1.0
公斤,358,1.0
公款,477,0.75
公正,238,0.75
公民,598,0.0
公然,599,0.0
公用,592,0.5
公益,288,1.0
公益性,600,1.0
公示,86,0.25
公积金,601,0.5
公立,600,0.5
公约,515,0.0
公职,75,1.0
公认,274,1.0
公证,101,0.75
公费,600,0.0
公路,386,1.0
公车,329,1.0
公道,238,0.75
公里,358,1.0
公顷,358,1.0
公鸡,402,1.0
六,1,1.0
共,12,1.0
共享,592,0.5
共同,18,0.25
共同体,171,0.25
共性,602,0.75
共有,12,1.0
共计,12,1.0
共识,51,0.5
共鸣,603,0.75
关,210,1.0
关上,604,0.75
