token,community,best_cluster_match_fraction
其次,39,1.0
其间,610,1.0
具体,611,0.75
具备,361,1.0
具有,361,1.0
典型,227,0.75
典礼,412,1.0
典范,328,1.0
兹,612,1.0
养,613,0.25
养成,614,0.25
养殖,478,0.75
养活,456,0.0
养生,505,1.0
养老,512,1.0
养老金,512,0.75
养老院,512,0.5
兼,267,1.0
兼任,82,1.0
兼容,615,1.0
兼职,89,0.5
兼顾,615,1.0
内,296,1.0
内向,616,1.0
内在,617,1.0
内地,234,1.0
内外,234,1.0
内存,559,0.5
内容,618,0.75
内幕,508,0.75
内心,619,0.75
内涵,620,0.0
内科,230,1.0
内行,621,1.0
内衣,106,1.0
内部,622,1.0
内阁,85,1.0
内需,486,0.0
册,199,1.0
再,137,0.5
再三,307,1.0
再也,127,1.0
再度,13,1.0
再次,13,1.0
再现,99,0.75
